北海道4農林水産副大臣,中村 裕之なかむら ひろゆき3,https://twitter.com/nakamurahiro3
静岡8安全保障委員会,塩谷 立しおのや りゅう9,https://twitter.com/shionoya_ryu
静岡5環境委員会,細野 豪志ほその ごうし7,https://twitter.com/hosono_54
静岡6外務委員会特別委）北朝鮮による拉致問題,渡辺 周わたなべ しゅう8,empty
愛知1安全保障委員会特別委）災害対策,熊田 裕通くまだ ひろみち3,empty
愛知4国土交通委員会経済産業委員会特別委）災害対策,工藤 彰三くどう しょうぞう3,https://twitter.com/kudoshozo
愛知6予算委員会特別委）政治倫理の確立・選挙制度,丹羽 秀樹にわ ひでき5,empty
愛知8法務委員会特別委）原子力問題調査,伊藤 忠彦いとう ただひこ4,https://twitter.com/tadahiko_itoh
愛知9経済産業委員会特別委）沖縄・北方問題,長坂 康正ながさか やすまさ3,empty
愛知10決算行政監視委員会,江崎 鐵磨えさき てつま7,empty
愛知14財務金融委員会農林水産委員会特別委）地方創生,今枝 宗一郎いまえだ そういちろう3,https://twitter.com/imaeda_soichiro
愛知15文部科学委員会農林水産委員会議院運営委員会政治倫理審査会特別委）災害対策,根本 幸典ねもと ゆきのり3,empty
愛知13予算委員会内閣委員会特別委）消費者問題,大西 健介おおにし けんすけ4,https://twitter.com/oniken0024
愛知3憲法審査会環境委員会,近藤 昭一こんどう しょういち8,https://twitter.com/kondo_shoichi
愛知5,赤松 広隆あかまつ ひろたか10,https://twitter.com/rikken_akamatsu
愛知12安全保障委員会特別委）地方創生,重徳 和彦しげとく かずひこ2,https://twitter.com/shigetoku2
愛知2厚生労働委員会国土交通委員会政治倫理審査会特別委）災害対策,古川 元久ふるかわ もとひさ8,https://twitter.com/Fullgen/
愛知7憲法審査会外務委員会特別委）政治倫理の確立・選挙制度,山尾 志桜里やまお しおり3■,https://twitter.com/ShioriYamao
愛知11財務金融委員会,古本 伸一郎ふるもと しんいちろう5,https://twitter.com/furumoto_s11
三重1厚生労働委員会,田村 憲久たむら のりひさ8,empty
三重4国土交通委員会特別委）北朝鮮による拉致問題,三ッ矢 憲生みつや のりお5,https://twitter.com/MITSUYA_Norio
三重2憲法審査会文部科学委員会特別委）科学技術・イノベーション推進,中川 正春なかがわ まさはる8,empty
三重3予算委員会外務委員会政治倫理審査会,岡田 克也おかだ かつや9,https://twitter.com/okada_katsuya
比)東海財務金融委員会環境委員会特別委）消費者問題,勝俣 孝明かつまた たかあき3,https://twitter.com/takaaki_katsu
比)東海憲法審査会文部科学委員会経済産業委員会総務委員会国家基本政策委員会決算行政監視委員会議院運営委員会懲罰委員会,鈴木 淳司すずき じゅんじ5,https://twitter.com/jyunji_suzuki
比)東海総務委員会特別委）政治倫理の確立・選挙制度,川崎 二郎かわさき じろう12,empty
比)東海財務金融委員会内閣委員会特別委）政治倫理の確立・選挙制度,神田 憲次かんだ けんじ3,https://twitter.com/kanda_kenji_
比)東海文部科学副大臣 内閣府副大臣,池田 佳隆いけだ よしたか3,https://twitter.com/ikeda_0620
比)東海経済産業委員会環境委員会特別委）科学技術・イノベーション推進,八木 哲也やぎ てつや3,empty
比)東海文部科学委員会厚生労働委員会特別委）東日本大震災復興繰,青山 周平あおやま しゅうへい4,empty
比)東海内閣委員会特別委）地方創生特別委）東日本大震災復興繰,吉川 赳よしかわ たける2,empty
比)東海憲法審査会法務委員会特別委）災害対策,大口 善徳おおぐち よしのり8,empty
比)東海財務副大臣,伊藤 渉いとう わたる4,https://twitter.com/ito_wataru
比)東海憲法審査会予算委員会内閣委員会,今井 雅人いまい まさと4,https://twitter.com/imai_masato
比)東海予算委員会国土交通委員会特別委）科学技術・イノベーション推進,岡本 充功おかもと みつのり5,https://twitter.com/mitsunori_ok
比)東海文部科学委員会政治倫理審査会,牧 義夫まき よしお6,https://twitter.com/yoshiomaki758
比)東海環境委員会特別委）地方創生特別委）東日本大震災復興新,関 健一郎せき けんいちろう1,https://twitter.com/sekikenichiro
比)東海環境委員会特別委）北朝鮮による拉致問題新,源馬 謙太郎げんま けんたろう1,https://twitter.com/gemmakentaro
比)東海財務金融委員会議院運営委員会特別委）原子力問題調査新,日吉 雄太ひよし ゆうた1,https://twitter.com/yutahiyoshi
比)東海内閣委員会特別委）消費者問題新,吉田 統彦よしだ つねひこ1,https://twitter.com/yoshitune1aichi 
比)東海国土交通委員会総務委員会特別委）地方創生新,松田 功まつだ いさお1,empty
比)東海安全保障委員会特別委）沖縄・北方問題元,杉本 和巳すぎもと かずみ3,https://twitter.com/sugichannet
比)東海憲法審査会総務委員会決算行政監視委員会,本村 伸子もとむら のぶこ2■,https://twitter.com/motomura_nobuko
比)東海財務金融委員会厚生労働委員会特別委）科学技術・イノベーション推進新,青山 雅幸あおやま まさゆき1,https://twitter.com/my_fc1
滋賀1環境副大臣,大岡 敏孝おおおか としたか3,empty
滋賀2内閣委員会,上野 賢一郎うえの けんいちろう4,https://twitter.com/ueno_kenichiro
滋賀3環境委員会決算行政監視委員会特別委）政治倫理の確立・選挙制度特別委）消費者問題,武村 展英たけむら のぶひで3,https://twitter.com/nobu_takemura
滋賀4内閣府大臣政務官内閣委員会新,小寺 裕雄こてら ひろお1,empty
京都1懲罰委員会,伊吹 文明いぶき ぶんめい12,empty
京都4文部科学副大臣,田中 英之たなか ひでゆき3,https://twitter.com/Tanaka_Hide
京都5外務大臣政務官外務委員会新,本田 太郎ほんだ たろう1,https://twitter.com/kyoto_honda
京都6文部科学委員会内閣委員会特別委）消費者問題特別委）東日本大震災復興,安藤 裕あんどう ひろし3,https://twitter.com/andouhiroshi
京都2財務金融委員会,前原 誠司まえはら せいじ9,https://twitter.com/Maehara2016
京都3国家基本政策委員会,泉 健太いずみ けんた7,https://twitter.com/office50824963
大阪1防衛大臣政務官 内閣府大臣政務官安全保障委員会,大西 宏幸おおにし ひろゆき2,https://twitter.com/onishi_hiroyuki
大阪2文部科学委員会,左藤 章さとう あきら5,https://twitter.com/310akirasato
大阪4安全保障委員会特別委）沖縄・北方問題,中山 泰秀なかやま やすひで5,https://twitter.com/iloveyatchan
大阪7厚生労働委員会,渡嘉敷 奈緒美とかしき なおみ4■,https://twitter.com/naomi_tokashiki
大阪9文部科学委員会安全保障委員会特別委）災害対策,原田 憲治はらだ けんじ4,https://twitter.com/harada_kenji
大阪13内閣府大臣政務官 復興大臣政務官内閣委員会特別委）東日本大震災復興,宗清 皇一むねきよ こういち2,https://twitter.com/MunekiyoOffice
大阪14厚生労働委員会内閣委員会特別委）地方創生,長尾 敬ながお たかし3,https://twitter.com/takashinagao
大阪15安全保障委員会特別委）科学技術・イノベーション推進,竹本 直一たけもと なおかず8,https://twitter.com/NaokazuTakemoto
大阪3外務委員会安全保障委員会特別委）政治倫理の確立・選挙制度,佐藤 茂樹さとう しげき8,https://twitter.com/shigeki3468
大阪5憲法審査会総務委員会特別委）東日本大震災復興,國重 徹くにしげ とおる3,https://twitter.com/ToruKunishige
大阪6厚生労働委員会特別委）消費者問題特別委）原子力問題調査,伊佐 進一いさ しんいち3,https://twitter.com/isashinichi
大阪16憲法審査会国土交通委員会,北側 一雄きたがわ かずお9,https://twitter.com/kitagawa_kazuo
大阪12予算委員会文部科学委員会農林水産委員会新,藤田 文武ふじた ふみたけ1,https://twitter.com/fumi_fuji
大阪17憲法審査会国家基本政策委員会政治倫理審査会,馬場 伸幸ばば のぶゆき3,https://twitter.com/baba_ishin
大阪18議院運営委員会,遠藤 敬えんどう たかし3,empty
大阪10予算委員会国土交通委員会,辻元 清美つじもと きよみ7■,https://twitter.com/tsujimotokiyomi 
大阪11国家基本政策委員会,平野 博文ひらの ひろふみ7,https://twitter.com/HiranoHirofumi
大阪19決算行政監視委員会,丸山 穂高まるやま ほだか2,https://twitter.com/maruyamahodaka
大阪8安全保障委員会,大塚 高司おおつか たかし4,empty
兵庫1憲法審査会予算委員会法務委員会財務金融委員会国土交通委員会農林水産委員会議院運営委員会情報監視審査会政治倫理審査会,盛山 正仁もりやま まさひと4,https://twitter.com/moriyamamasahit
兵庫3憲法審査会経済産業委員会特別委）科学技術・イノベーション推進,関 芳弘せき よしひろ4,https://twitter.com/sekiyoshihiro
兵庫4財務金融委員会特別委）北朝鮮による拉致問題,藤井 比早之ふじい ひさゆき3,https://twitter.com/FujiiHisayuki
兵庫5国土交通委員会,谷 公一たに こういち6,empty
兵庫6憲法審査会文部科学委員会厚生労働委員会特別委）北朝鮮による拉致問題,大串 正樹おおぐし まさき3,https://twitter.com/Ogushi_Masaki
兵庫7憲法審査会法務委員会財務金融委員会厚生労働委員会農林水産委員会議院運営委員会政治倫理審査会特別委）北朝鮮による拉致問題,山田 賢司やまだ けんじ3,https://twitter.com/Ymd_Knj
兵庫9予算委員会,西村 康稔にしむら やすとし6,https://twitter.com/nishy03
兵庫10懲罰委員会特別委）科学技術・イノベーション推進,渡海 紀三朗とかい きさぶろう9,https://twitter.com/tokaikisaburo
兵庫11内閣委員会,松本 剛明まつもと たけあき7,empty
兵庫12環境大臣 内閣府特命担当大臣（原子力防災）,山口 壯やまぐち つよし6,https://twitter.com/244yamaguchi
兵庫2財務金融委員会環境委員会特別委）政治倫理の確立・選挙制度,赤羽 一嘉あかば かずよし8,https://twitter.com/AKBhyogo2ku
兵庫8経済産業委員会特別委）地方創生特別委）原子力問題調査,中野 洋昌なかの ひろまさ3,https://twitter.com/Hiro_NAKANO_
奈良1国土交通委員会特別委）地方創生特別委）東日本大震災復興元,小林 茂樹こばやし しげき2,https://twitter.com/shigekinara
奈良2決算行政監視委員会情報監視審査会,高市 早苗たかいち さなえ7■,https://twitter.com/takaichi_sanae
奈良3財務金融委員会,田野瀬 太道たのせ たいどう3,empty
和歌山2総務委員会国家基本政策委員会特別委）地方創生,石田 真敏いしだ まさとし7,https://twitter.com/ishidamasatoshi
和歌山3国家基本政策委員会,二階 俊博にかい としひろ12,empty
和歌山1内閣委員会特別委）東日本大震災復興,岸本 周平きしもと しゅうへい4,https://twitter.com/shuheikishimoto
比)近畿法務委員会特別委）政治倫理の確立・選挙制度,奥野 信亮おくの しんすけ4,empty
比)近畿環境委員会特別委）地方創生特別委）東日本大震災復興,神谷 昇かみたに のぼる2,https://twitter.com/noboru_kamitani
比)近畿憲法審査会経済産業委員会,佐藤 ゆかりさとう ゆかり3■,https://twitter.com/satoyukari
比)近畿厚生労働委員会総務委員会特別委）消費者問題,木村 弥生きむら やよい2■,https://twitter.com/kimura841
比)近畿内閣委員会特別委）地方創生特別委）東日本大震災復興,岡下 昌平おかした しょうへい2,https://twitter.com/Shohei_Okashita
比)近畿総務委員会特別委）北朝鮮による拉致問題特別委）東日本大震災復興,谷川 とむたにがわ とむ2,https://twitter.com/Tom_Tanigawa
比)近畿厚生労働委員会国土交通委員会特別委）沖縄・北方問題,門 博文かど ひろふみ2,https://twitter.com/kado_wakayama
比)近畿厚生労働大臣政務官厚生労働委員会,大隈 和英おおくま かずひで2,https://twitter.com/Kazu_Okuma
比)近畿財務大臣政務官財務金融委員会新,繁本 護しげもと まもる1,empty
比)近畿外務委員会特別委）北朝鮮による拉致問題,竹内 譲たけうち ゆずる5,https://twitter.com/takeuchi_yuzuru
比)近畿文部科学委員会特別委）原子力問題調査特別委）東日本大震災復興,浮島 智子うきしま ともこ3■,https://twitter.com/Tomo_Ukishima
比)近畿予算委員会農林水産委員会内閣委員会特別委）科学技術・イノベーション推進,濱村 進はまむら すすむ3,https://twitter.com/HamamuraSusumu
比)近畿文部科学大臣政務官文部科学委員会新,鰐淵 洋子わにぶち ようこ1■,https://twitter.com/WanibuchiYoko
比)近畿環境委員会特別委）東日本大震災復興新,森 夏枝もり なつえ1■,https://twitter.com/MoriNatsue
比)近畿国土交通委員会,井上 英孝いのうえ ひでたか3,https://twitter.com/hidetaka_i
比)近畿憲法審査会内閣委員会総務委員会特別委）原子力問題調査,足立 康史あだち やすし3,https://twitter.com/adachiyasushi
比)近畿外務委員会特別委）政治倫理の確立・選挙制度,浦野 靖人うらの やすと3,https://twitter.com/uranoyasuto
比)近畿経済産業委員会特別委）災害対策特別委）地方創生繰,美延 映夫みのべ てるお1,https://twitter.com/minobeteruo
比)近畿予算委員会内閣委員会特別委）災害対策特別委）政治倫理の確立・選挙制度元,森山 浩行もりやま ひろゆき2,https://twitter.com/MORIYAMAhiro
比)近畿財務金融委員会総務委員会特別委）政治倫理の確立・選挙制度新,櫻井 周さくらい しゅう1,https://twitter.com/sakurai_shu
比)近畿安全保障委員会特別委）北朝鮮による拉致問題元,村上 史好むらかみ ふみよし3,https://twitter.com/fumiyoshi610
比)近畿厚生労働委員会特別委）消費者問題新,尾辻 かな子おつじ かなこ1■,https://twitter.com/otsujikanako
比)近畿環境委員会特別委）政治倫理の確立・選挙制度特別委）原子力問題調査新,長尾 秀樹ながお ひでき1,https://twitter.com/nagaohideki_CDP
比)近畿決算行政監視委員会繰,馬淵 澄夫まぶち すみお6,https://twitter.com/mabuchi_sumio
比)近畿厚生労働委員会政治倫理審査会,山井 和則やまのい かずのり7,https://twitter.com/yamanoikazunori
比)近畿外務委員会政治倫理審査会特別委）東日本大震災復興,穀田 恵二こくた けいじ9,https://twitter.com/kokutakeiji
比)近畿財務金融委員会特別委）地方創生繰,清水 忠史しみず ただし2,https://twitter.com/tadashishimizu
比)近畿総務委員会特別委）消費者問題新,井上 一徳いのうえ かずのり1,https://twitter.com/kazunori_0731
鳥取1憲法審査会予算委員会,石破 茂いしば しげる11,https://twitter.com/shigeruishiba
鳥取2国土交通委員会特別委）北朝鮮による拉致問題,赤澤 亮正あかざわ りょうせい5,https://twitter.com/ryosei_akazawa
島根1憲法審査会国家基本政策委員会,細田 博之ほそだ ひろゆき10,https://twitter.com/hosodahiroyuki
岡山1懲罰委員会,逢沢 一郎あいさわ いちろう10,https://twitter.com/ichiroaisawa
岡山2憲法審査会法務委員会厚生労働委員会安全保障委員会農林水産委員会議院運営委員会特別委）消費者問題,山下 貴司やました たかし3,https://twitter.com/YAMASHITA_OK
岡山3外務委員会,あべ 俊子あべ としこ5■,https://twitter.com/abetoshiko
岡山4予算委員会厚生労働委員会特別委）政治倫理の確立・選挙制度,橋本 岳はしもと がく4,https://twitter.com/ga9_h
岡山5決算行政監視委員会,加藤 勝信かとう かつのぶ6,empty
広島1内閣総理大臣,岸田 文雄きしだ ふみお9,https://twitter.com/kishida230
広島2国土交通委員会特別委）沖縄・北方問題,平口 洋ひらぐち ひろし4,https://twitter.com/katsukawai
広島4総務委員会特別委）災害対策,新谷 正義しんたに まさよし3,empty
広島5総務委員会特別委）政治倫理の確立・選挙制度,寺田 稔てらだ みのる5,https://twitter.com/terada124
広島7デジタル副大臣 内閣府副大臣,小林 史明こばやし ふみあき3,https://twitter.com/kb2474
広島6農林水産委員会特別委）災害対策元,佐藤 公治さとう こうじ3,https://twitter.com/kouji_satou
山口1財務大臣政務官財務金融委員会新,高村 正大こうむら まさひろ1,empty
山口2防衛大臣,岸 信夫きし のぶお3,https://twitter.com/KishiNobuo
山口3予算委員会,河村 建夫かわむら たけお10,https://twitter.com/takeokawamura
山口4懲罰委員会,安倍 晋三あべ しんぞう9,https://twitter.com/AbeShinzo
比)中国厚生労働委員会環境委員会特別委）政治倫理の確立・選挙制度,小島 敏文こじま としふみ3,empty
比)中国内閣委員会総務委員会特別委）災害対策特別委）科学技術・イノベーション推進元,杉田 水脈すぎた みお2■,https://twitter.com/miosugita
比)中国農林水産委員会特別委）地方創生特別委）科学技術・イノベーション推進,池田 道孝いけだ みちたか3,empty
比)中国文部科学委員会環境委員会特別委）原子力問題調査,古田 圭一ふるた けいいち2,empty
比)中国経済産業委員会環境委員会特別委）消費者問題繰,畦元 将吾あぜもと しょうご1,empty
比)中国国土交通大臣 水循環政策担当,斉藤 鉄夫さいとう てつお9,https://twitter.com/saitotetsuo
比)中国厚生労働委員会総務委員会特別委）地方創生,桝屋 敬悟ますや けいご8,empty
比)中国農林水産委員会特別委）地方創生新,亀井 亜紀子かめい  あきこ1■,https://twitter.com/kameiakikoweb
比)中国厚生労働委員会情報監視審査会特別委）科学技術・イノベーション推進,津村 啓介つむら けいすけ6,https://twitter.com/Tsumura_Keisuke
比)中国内閣委員会特別委）消費者問題,柚木 道義ゆのき みちよし5,https://twitter.com/yunoki_m
比)中国法務委員会,高井 崇志たかい たかし3,https://twitter.com/t_takai
徳島1憲法審査会厚生労働委員会,後藤田 正純ごとうだ まさずみ7,https://twitter.com/MasazumiGotoda
徳島2総務委員会情報監視審査会特別委）地方創生,山口 俊一やまぐち しゅんいち11,empty
香川1内閣委員会,平井 卓也ひらい たくや7,https://twitter.com/hiratakuchan
香川3内閣府副大臣,大野 敬太郎おおの けいたろう3,https://twitter.com/keitaro_ohno
香川2農林水産委員会国家基本政策委員会,玉木 雄一郎たまき ゆういちろう3,https://twitter.com/tamakiyuichiro
愛媛1厚生労働委員会,塩崎 恭久しおざき やすひさ8,https://twitter.com/yasu_shio
愛媛2決算行政監視委員会,村上 誠一郎むらかみ せいいちろう11,empty
愛媛4決算行政監視委員会,山本 公一やまもと こういち9,empty
愛媛3厚生労働委員会特別委）地方創生元,白石 洋一しらいし よういち2,https://twitter.com/shiraishiyoichi
高知1憲法審査会安全保障委員会,中谷 元なかたに げん10,empty
高知2憲法審査会国土交通委員会新,広田 一ひろた はじめ1,https://twitter.com/hirota11
比)四国憲法審査会文部科学委員会,福井 照ふくい てる7,empty
比)四国農林水産委員会環境委員会特別委）原子力問題調査,福山 守ふくやま まもる3,empty
比)四国予算委員会元,山本 有二やまもと ゆうじ10,https://twitter.com/yamamotoyuji
比)四国総務委員会,石田 祝稔いしだ のりとし8,https://twitter.com/ishidanoritoshi
比)四国憲法審査会議院運営委員会新,武内 則男たけうち のりお1,https://twitter.com/NorioKochi
比)四国議院運営委員会,小川 淳也おがわ じゅんや5,https://twitter.com/junyaog
福岡1憲法審査会財務金融委員会厚生労働委員会国土交通委員会経済産業委員会農林水産委員会議院運営委員会政治倫理審査会,井上 貴博いのうえ たかひろ3,empty
福岡2防衛副大臣 内閣府副大臣,鬼木 誠おにき まこと3,https://twitter.com/onikidonfukuoka
福岡3厚生労働副大臣,古賀 篤こが あつし3,https://twitter.com/kogaatsushi
福岡4文部科学委員会,宮内 秀樹みやうち ひでき3,https://twitter.com/MiyauchiHideki
福岡5予算委員会特別委）災害対策,原田 義昭はらだ よしあき8,https://twitter.com/yoshiaki_harada
福岡6総務大臣政務官総務委員会,鳩山 二郎はとやま じろう2,empty
福岡7財務金融委員会議院運営委員会政治倫理審査会特別委）災害対策特別委）地方創生,藤丸 敏ふじまる さとし3,empty
福岡8国家基本政策委員会,麻生 太郎あそう たろう13,https://twitter.com/taro_aso_
福岡9経済産業委員会特別委）北朝鮮による拉致問題,三原 朝彦みはら あさひこ8,https://twitter.com/miharaasahiko
福岡10予算委員会特別委）災害対策,山本 幸三やまもと こうぞう8,https://twitter.com/yamamotogiin
福岡11安全保障委員会,武田 良太たけだ りょうた6,empty
佐賀1国家基本政策委員会,原口 一博はらぐち かずひろ8,https://twitter.com/kharaguchi
佐賀2憲法審査会農林水産委員会,大串 博志おおぐし ひろし5,https://twitter.com/OogushiHiroshi
長崎2農林水産委員会決算行政監視委員会特別委）地方創生,加藤 寛治かとう かんじ3,empty
長崎3文部科学委員会特別委）地方創生,谷川 弥一たにがわ やいち5,empty
長崎4予算委員会特別委）原子力問題調査,北村 誠吾きたむら せいご7,empty
長崎1予算委員会特別委）地方創生,西岡 秀子にしおか ひでこ1■,empty
熊本1財務金融委員会特別委）災害対策,木原 稔きはら みのる4,https://twitter.com/kihara_minoru
熊本2憲法審査会予算委員会,野田 毅のだ たけし16,https://twitter.com/NodaTakeshi1941
熊本3農林水産委員会,坂本 哲志さかもと てつし6,https://twitter.com/TETUSISAKAMOTO
熊本4総務大臣,金子 恭之かねこ やすし7,https://twitter.com/nekotanchan
大分1財務金融委員会経済産業委員会特別委）消費者問題,穴見 陽一あなみ よういち3,empty
大分2予算委員会,衛藤 征士郎えとう せいしろう12,https://twitter.com/etoseishiro
大分3憲法審査会予算委員会特別委）政治倫理の確立・選挙制度,岩屋 毅いわや たけし8,empty
宮崎1財務金融委員会厚生労働委員会安全保障委員会総務委員会議院運営委員会政治倫理審査会特別委）沖縄・北方問題,武井 俊輔たけい しゅんすけ3,https://twitter.com/syunsuke_takei
宮崎2予算委員会農林水産委員会決算行政監視委員会,江藤 拓えとう たく6,empty
宮崎3法務大臣,古川 禎久ふるかわ よしひさ6,empty
鹿児島2環境委員会総務委員会特別委）地方創生,金子 万寿夫かねこ ますお3,empty
鹿児島3国土交通委員会特別委）災害対策,小里 泰弘おざと やすひろ5,empty
鹿児島4国家基本政策委員会,森山 裕もりやま ひろし6,empty
鹿児島1予算委員会厚生労働委員会元,川内 博史かわうち ひろし6,https://twitter.com/kawauchihiroshi
沖縄1憲法審査会安全保障委員会特別委）沖縄・北方問題,赤嶺 政賢あかみね せいけん7,https://twitter.com/akamineseiken
沖縄2憲法審査会安全保障委員会,照屋 寛徳てるや かんとく6,empty
沖縄3法務委員会安全保障委員会特別委）沖縄・北方問題新,屋良 朝博やら ともひろ1,https://twitter.com/yaratomohiro
沖縄4復興大臣 福島原発事故再生総括担当 内閣府特命担当大臣（沖縄及び北方対策）,西銘 恒三郎にしめ こうさぶろう5,https://twitter.com/NishimeKosaburo
比)九州総務委員会特別委）消費者問題特別委）原子力問題調査,宮路 拓馬みやじ たくま2,https://twitter.com/miyajitakuma
比)九州予算委員会特別委）地方創生特別委）科学技術・イノベーション推進,今村 雅弘いまむら まさひろ7,empty
比)九州総務委員会特別委）北朝鮮による拉致問題特別委）原子力問題調査,古川 康ふるかわ やすし2,empty
比)九州外務委員会特別委）科学技術・イノベーション推進特別委）原子力問題調査,國場 幸之助こくば こうのすけ3,https://twitter.com/kokubkonosuke
比)九州内閣委員会特別委）消費者問題,冨岡 勉とみおか つとむ4,https://twitter.com/55tsutomu2106
比)九州経済産業大臣政務官 内閣府大臣政務官 復興大臣政務官経済産業委員会特別委）東日本大震災復興,岩田 和親いわた かずちか3,https://twitter.com/Kazuchika_Iwata
比)九州法務委員会内閣委員会特別委）沖縄・北方問題繰,宮﨑 政久みやざき まさひさ3,https://twitter.com/Miyazaki_kirin
比)九州環境委員会内閣委員会特別委）災害対策,江田 康幸えだ やすゆき7,empty
比)九州予算委員会安全保障委員会特別委）北朝鮮による拉致問題,浜地 雅一はまち まさかず3,https://twitter.com/hamachi_m
比)九州法務委員会国土交通委員会繰,吉田 宣弘よしだ のぶひろ2,empty
比)九州環境委員会懲罰委員会元,横光 克彦よこみつ かつひこ7,https://twitter.com/yokomitsu_oita3
比)九州文部科学委員会決算行政監視委員会特別委）原子力問題調査元,山内 康一やまうち こういち6,https://twitter.com/yamauchiko1
比)九州農林水産委員会特別委）東日本大震災復興元,矢上 雅義やがみ まさよし3,https://twitter.com/masa_yagami
比)九州法務委員会厚生労働委員会特別委）消費者問題元,稲富 修二いなとみ しゅうじ2,https://twitter.com/inatomi_office
比)九州国土交通委員会特別委）科学技術・イノベーション推進元,城井 崇きい たかし3,https://twitter.com/kiitakashi
比)九州予算委員会文部科学委員会特別委）地方創生,吉川 元よしかわ はじめ3,https://twitter.com/yoshikawahajime
比)九州農林水産委員会環境委員会特別委）災害対策,田村 貴昭たむら たかあき2,https://twitter.com/TAMURATAKAAKI
比)九州懲罰委員会元,中山 成彬なかやま なりあき8,https://twitter.com/nakayamanariaki
比)九州文部科学委員会特別委）科学技術・イノベーション推進,吉良 州司きら しゅうじ5,empty
比)九州決算行政監視委員会,下地 幹郎しもじ みきお6,https://twitter.com/mikioshimoji
